time,exchange,symbol,ask_amount,ask_price,bid_price,bid_amount
2022-11-05T09:45:00.000000,ftx,SOL/USD,10.01,34.95,34.9475,138.09
2022-11-05T09:46:00.000000,ftx,SOL/USD,10.0,34.9025,34.9,228.71
2022-11-05T09:47:00.000000,ftx,SOL/USD,463.4,34.895,34.8925,8.61
2022-11-05T09:48:00.000000,ftx,SOL/USD,10.06,34.85,34.8475,170.95
2022-11-05T09:49:00.000000,ftx,SOL/USD,6.79,34.925,34.9225,339.04
2022-11-05T09:50:00.000000,ftx,SOL/USD,86.39,34.93,34.9275,8.6
2022-11-05T09:51:00.000000,ftx,SOL/USD,147.42,34.9175,34.915,0.02
2022-11-05T09:52:00.000000,ftx,SOL/USD,167.25,34.9475,34.945,7.98
2022-11-05T09:53:00.000000,ftx,SOL/USD,81.56,34.9725,34.97,18.57
2022-11-05T09:54:00.000000,ftx,SOL/USD,21.66,34.9875,34.985,163.47
2022-11-05T09:55:00.000000,ftx,SOL/USD,10.02,35.005,35.0025,109.83
2022-11-05T09:56:00.000000,ftx,SOL/USD,223.02,35.0125,35.01,11.27
2022-11-05T09:57:00.000000,ftx,SOL/USD,6.56,34.9375,34.935,75.83
2022-11-05T09:58:00.000000,ftx,SOL/USD,203.53,35.0,34.9975,0.02
2022-11-05T09:59:00.000000,ftx,SOL/USD,0.02,35.0475,35.045,74.71
2022-11-05T10:00:00.000000,ftx,SOL/USD,0.04,35.06,35.0575,105.95
2022-11-05T10:01:00.000000,ftx,SOL/USD,5.59,35.085,35.0825,357.63
2022-11-05T10:02:00.000000,ftx,SOL/USD,70.59,35.1025,35.1,8.55
2022-11-05T10:03:00.000000,ftx,SOL/USD,10.0,35.115,35.1125,0.06
2022-11-05T10:04:00.000000,ftx,SOL/USD,9.87,35.115,35.1125,8.61
2022-11-05T10:05:00.000000,ftx,SOL/USD,0.01,35.1175,35.1125,79.58
2022-11-05T10:06:00.000000,ftx,SOL/USD,0.03,35.13,35.1275,18.06
2022-11-05T10:07:00.000000,ftx,SOL/USD,112.68,35.065,35.0625,1.19
2022-11-05T10:08:00.000000,ftx,SOL/USD,62.92,35.11,35.1075,75.31
2022-11-05T10:09:00.000000,ftx,SOL/USD,74.9,35.0825,35.08,10.0
2022-11-05T10:10:00.000000,ftx,SOL/USD,10.09,35.1,35.0975,4.45
2022-11-05T10:11:00.000000,ftx,SOL/USD,16.55,35.11,35.1075,74.52
2022-11-05T10:12:00.000000,ftx,SOL/USD,88.64,35.11,35.1075,175.02
2022-11-05T10:13:00.000000,ftx,SOL/USD,0.02,35.1075,35.105,310.8
2022-11-05T10:14:00.000000,ftx,SOL/USD,23.92,35.1175,35.115,173.56
2022-11-05T10:15:00.000000,ftx,SOL/USD,94.84,35.115,35.1125,2.7
2022-11-05T10:16:00.000000,ftx,SOL/USD,73.18,35.1275,35.125,73.58
2022-11-05T10:17:00.000000,ftx,SOL/USD,0.02,35.12,35.1175,83.56
2022-11-05T10:18:00.000000,ftx,SOL/USD,16.39,35.1075,35.1025,100.14
2022-11-05T10:19:00.000000,ftx,SOL/USD,86.97,35.115,35.1125,73.55
2022-11-05T10:20:00.000000,ftx,SOL/USD,6.5,35.0675,35.065,170.95
2022-11-05T10:21:00.000000,ftx,SOL/USD,135.85,35.02,35.0175,0.04
2022-11-05T10:22:00.000000,ftx,SOL/USD,7.87,35.005,35.0025,565.87
2022-11-05T10:23:00.000000,ftx,SOL/USD,25.96,35.0325,35.03,345.84
2022-11-05T10:24:00.000000,ftx,SOL/USD,9.88,34.9625,34.96,472.55
2022-11-05T10:25:00.000000,ftx,SOL/USD,87.18,35.01,35.0075,96.88
2022-11-05T10:26:00.000000,ftx,SOL/USD,442.3,34.9875,34.985,8.6
2022-11-05T10:27:00.000000,ftx,SOL/USD,607.86,34.9625,34.96,9.97
2022-11-05T10:28:00.000000,ftx,SOL/USD,5.51,34.9875,34.985,51.84
2022-11-05T10:29:00.000000,ftx,SOL/USD,98.58,34.9725,34.97,73.65
2022-11-05T10:30:00.000000,ftx,SOL/USD,84.82,35.02,35.0175,171.55
2022-11-05T10:31:00.000000,ftx,SOL/USD,0.01,34.9675,34.965,395.34
2022-11-05T10:32:00.000000,ftx,SOL/USD,255.01,34.9825,34.98,75.4
2022-11-05T10:33:00.000000,ftx,SOL/USD,95.99,34.99,34.9875,83.61
2022-11-05T10:34:00.000000,ftx,SOL/USD,0.23,34.9875,34.985,476.74
2022-11-05T10:35:00.000000,ftx,SOL/USD,25.92,35.0275,35.025,93.58
2022-11-05T10:36:00.000000,ftx,SOL/USD,1.44,35.035,35.0325,29.37
