id,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25,spread,total_bid_volume,total_ask_volume,volume_imbalance,average_price,amount,volume,number_trades,amount_buy,volume_buy,number_trades_buy,price_diff,rolling_mean_price,rolling_volume,vwap,amihud,ask_amount,ask_price,bid_price,bid_amount,ask_bid_ratio,T5YIE,T10YIE,DGS2,DGS5,DGS10,DGS30,VIXCLS,sp_open,sp_high,sp_low,sp_close,sp_volume,cmi_value,cmi_volume,timestamp,symbol,exchange,market
387,2022-11-17 02:29:30.000000000,14.367916666666668,14.37705,946.3354283166667,2225.2874291666667,540.5327142499999,2184.5371301833334,0.009133333333333462,3171.6228574833335,2725.0698444333334,446.55301305000006,14.372483333333333,286.72357194915253,4119.536194199051,19.677966101694917,126.09547272881356,1812.417609079746,7.4576271186440675,-1.0456313898305056,280.67427659301916,20173.683477150662,14.37330310100445,4.11739527903735e-07,,,,,,2.3325,2.2841666666666667,4.3966666666666665,3.8883333333333336,3.7283333333333335,3.8733333333333335,24.005,392.67277777777775,393.4772222222222,392.02777777777777,392.34944444444443,10217128.111111112,63.168075,192.06047136758767,387,SOL-USDT,okex,okex/SOL-USDT
388,2022-11-17 03:29:30.000000000,14.301449999999999,14.309883333333334,598.3585168166667,2240.880017,477.5913214,1835.9964716166664,0.008433333333333426,2839.2385338166664,2313.5877930166666,525.6507408000001,14.305666666666667,283.4736005964912,4053.416422945456,18.105263157894736,148.89610435087718,2129.0054864091753,8.333333333333334,8.987671912280701,275.3158844805006,19688.161372267612,14.305323014566603,6.901385564821323e-07,,,,,,2.33125,2.28375,4.3999999999999995,3.8925,3.7325,3.875,23.9975,392.3566666666666,393.2233333333333,391.77666666666664,392.06666666666666,9643434.666666668,63.1688625,192.06047136758767,388,SOL-USDT,okex,okex/SOL-USDT
389,2022-11-17 04:29:30.000000000,14.137966666666667,14.1472,813.3593308833333,2471.55009745,488.6749620333333,1958.4917419333333,0.009233333333333314,3284.9094283333334,2447.166703966667,837.7427243666665,14.142583333333333,409.97369876666664,5798.678300295566,29.183333333333334,174.06137371666668,2461.7913713247003,12.716666666666667,-14.404470400000006,426.8728702631322,30199.733997661322,14.144646207255436,2.3872623621951576e-07,,,,,,2.33,2.283333333333333,4.403333333333333,3.896666666666667,3.736666666666667,3.876666666666667,23.99,392.04055555555556,392.96944444444443,391.52555555555557,391.7838888888889,9069741.222222224,63.169650000000004,192.06047136758767,389,SOL-USDT,okex,okex/SOL-USDT
390,2022-11-17 05:29:30.000000000,14.211133333333333,14.220266666666667,723.3313749166666,2721.59676855,457.87941345,2050.2369771,0.00913333333333332,3444.928143466667,2508.1163905500002,936.8117529166667,14.2157,183.61142448333334,2609.2296323679666,16.816666666666666,94.60995646666667,1344.1692093903666,9.55,0.5935845166666657,183.81366956979883,13057.935495027903,14.215203762913283,7.596070400248425e-07,,,,,,2.32875,2.2829166666666665,4.406666666666666,3.9008333333333334,3.7408333333333332,3.8783333333333334,23.982499999999998,391.72444444444443,392.71555555555557,391.27444444444444,391.50111111111113,8496047.777777778,63.1704375,192.06047136758767,390,SOL-USDT,okex,okex/SOL-USDT
391,2022-11-17 06:29:30.000000000,14.321516666666666,14.330233333333332,641.7928811333334,2517.913192833333,547.8624496666667,2365.7806181666665,0.008716666666666753,3159.706073966667,2913.6430678333336,246.06300613333346,14.325875,343.97855193333334,4929.5141738956,21.616666666666667,192.57550955,2758.5728996207004,11.75,20.481686466666655,319.5788836797988,22910.545152473824,14.326351858433533,3.0096240578135693e-07,,,,,,2.3274999999999997,2.2824999999999998,4.409999999999999,3.9050000000000002,3.745,3.88,23.975,391.4083333333333,392.46166666666664,391.0233333333333,391.21833333333336,7922354.333333334,63.171225,192.06047136758767,391,SOL-USDT,okex,okex/SOL-USDT
392,2022-11-17 07:29:30.000000000,14.23605,14.244816666666667,788.4547327500001,2442.41597865,532.49599185,2066.5419939666667,0.00876666666666664,3230.8707114,2599.0379858166666,631.8327255833333,14.240433333333334,278.95685315,3970.6514592937833,23.55,135.12683541666667,1923.68717187715,11.016666666666667,-17.89485001666667,297.09723752313215,21142.84087723919,14.239441058056935,3.3238298470328763e-07,,,,,,2.32625,2.282083333333333,4.413333333333333,3.9091666666666667,3.7491666666666665,3.881666666666667,23.9675,391.0922222222222,392.2077777777778,390.7722222222222,390.93555555555554,7348660.88888889,63.1720125,192.06047136758767,392,SOL-USDT,okex,okex/SOL-USDT
393,2022-11-17 08:29:30.000000000,14.268066666666666,14.275916666666665,603.6978151166667,2359.6385514833332,687.32565685,2175.7239548166667,0.007850000000000081,2963.3363666,2863.049611666667,100.28675493333336,14.271991666666667,413.51641140000004,5906.765092157434,36.483333333333334,191.2576979,2731.8443894926004,18.483333333333334,0.8296844500000035,413.42819496646547,29529.61490394184,14.273804342304029,2.3127855881285146e-07,,,,,,2.3249999999999997,2.2816666666666663,4.416666666666666,3.9133333333333336,3.7533333333333334,3.8833333333333333,23.96,390.7761111111111,391.95388888888886,390.5211111111111,390.65277777777777,6774967.444444444,63.1728,192.06047136758767,393,SOL-USDT,okex,okex/SOL-USDT
394,2022-11-17 09:29:30.000000000,14.150133333333335,14.158933333333332,611.1948858,2603.93564625,515.2695602666666,1714.2446090666667,0.008799999999999813,3215.13053205,2229.5141693333335,985.6163627166667,14.154533333333335,321.5891386166667,4548.956354578367,25.966666666666665,187.42719931666667,2651.322893703933,12.466666666666667,-1.8403695500000035,320.32221981979876,22661.536022405853,14.155603704000042,3.444161896254277e-07,,,,,,2.32375,2.28125,4.42,3.9175,3.7575,3.8850000000000002,23.9525,390.46,391.7,390.27,390.37,6201274.0,63.1696375,192.06047136758767,394,SOL-USDT,okex,okex/SOL-USDT
395,2022-11-17 10:29:30.000000000,14.14455,14.15355,815.1875665666666,3454.168144133333,575.5908315333332,2083.2243989500002,0.009000000000000107,4269.3557107,2658.8152304833334,1610.5404802166665,14.149049999999999,252.61972855000002,3572.5777699802834,19.816666666666666,101.57516175,1436.9062255534166,9.266666666666667,4.849244749999997,255.01187569979874,18030.124080119993,14.147645563205355,3.4984798764518783e-07,,,,,,2.3225,2.2808333333333333,4.423333333333333,3.921666666666667,3.7616666666666667,3.8866666666666667,23.945,390.33,392.2,390.14,390.56,7948516.0,63.166475000000005,192.06047136758767,395,SOL-USDT,okex,okex/SOL-USDT
396,2022-11-17 11:29:30.000000000,14.182966666666665,14.192316666666667,692.4187300666667,2779.1026158666664,513.3644851666667,2121.4015545666666,0.00934999999999998,3471.521345933333,2634.7660397333334,836.7553062000001,14.187641666666668,245.74041841666667,3487.2370613148832,18.216666666666665,112.92426535000001,1602.6337424743833,9.316666666666666,-0.9502313500000024,242.88581129979875,17229.839365548924,14.187155056081346,2.8645672107784826e-07,,,,,,2.32125,2.2804166666666665,4.426666666666667,3.9258333333333333,3.765833333333333,3.8883333333333336,23.9375,390.54,393.18,390.29,393.14,6609381.0,63.1633125,192.06047136758767,396,SOL-USDT,okex,okex/SOL-USDT
397,2022-11-17 12:29:30.000000000,13.844899999999999,13.855433333333334,520.9356157666666,2115.5156459833333,678.6800872333333,1855.2626289500001,0.010533333333333313,2636.45126175,2533.9427161833332,102.50854556666677,13.850166666666667,1147.521921266667,15882.145522116185,128.78333333333333,521.4318439333333,7207.955883556384,54.53333333333333,1.3755461166666616,1128.229464419799,78127.39287515856,13.85383765203218,1.8821130921406418e-07,,,,,,2.32,2.28,4.43,3.93,3.77,3.89,23.93,393.14,394.55,392.73,394.26,6410826.0,63.16015,192.06047136758767,397,SOL-USDT,okex,okex/SOL-USDT
398,2022-11-17 13:29:30.000000000,13.235316666666668,13.24455,532.6542522333333,1554.2263720166668,393.8034169666667,1873.7318749166666,0.009233333333333317,2086.88062425,2267.5352918833332,-180.6546676333333,13.239933333333333,2732.188184983334,36149.966652566814,271.8833333333333,1240.0569335833336,16406.627412868085,123.83333333333333,13.931397899999999,2706.521344759799,179147.37071143612,13.241332302261517,9.809633314297987e-08,,,,,,2.3183333333333334,2.2787499999999996,4.433333333333333,3.9325,3.7720833333333332,3.8912500000000003,23.89625,394.26,394.95,393.69,394.21,5286021.0,63.1569875,192.06047136758767,398,SOL-USDT,okex,okex/SOL-USDT
399,2022-11-17 14:29:30.000000000,13.2254,13.234816666666667,526.6951519166666,1691.3831480333333,501.8532091166666,1670.8004813,0.009416666666666677,2218.07829995,2172.653690416667,45.424609533333324,13.230108333333334,2259.4991195166667,29841.036457116334,232.1,1129.4295716000001,14936.235704851084,107.81666666666666,0.4408851666666796,2273.3714541964655,150082.24241868005,13.225407752397002,6.387906626030514e-08,,,,,,2.3166666666666664,2.2775,4.4366666666666665,3.935,3.774166666666667,3.8925,23.8625,394.22,394.65,392.5,393.15,5487537.0,63.153825,192.06047136758767,399,SOL-USDT,okex,okex/SOL-USDT
400,2022-11-17 15:29:30.000000000,13.62425,13.633616666666667,377.05587436666667,1543.6840201,462.4483504,1951.6204736833336,0.00936666666666667,1920.7398944666668,2414.0688240833333,-493.3289296166667,13.628933333333332,1792.100244533333,24391.11809351949,215.13333333333333,1016.1347705166665,13827.32254081263,109.56666666666666,-17.852555000000052,1819.118582976465,123732.26183327496,13.629191778137077,1.0428511073943657e-07,,,,,,2.315,2.2762499999999997,4.4399999999999995,3.9375,3.77625,3.8937500000000003,23.82875,393.13,394.37,391.64,394.24,13698084.0,63.1506625,192.06047136758767,400,SOL-USDT,okex,okex/SOL-USDT
401,2022-11-17 16:29:30.000000000,13.509866666666666,13.51945,448.2481390333333,1964.7152647666667,541.0924276000001,2333.4212045166664,0.009583333333333163,2412.9634038,2874.5136321166665,-461.5502283166668,13.514658333333333,616.9666451166667,8333.253899083249,48.4,353.75015713333335,4778.13675998955,24.833333333333332,11.871617616666667,608.8994798464656,41131.128316526156,13.514580510788342,2.866625741659926e-07,,,,,,2.313333333333333,2.275,4.443333333333333,3.9400000000000004,3.7783333333333333,3.895,23.795,393.3858234788931,394.5608964788269,391.85753319680276,394.326014401797,13321651.903811427,63.1475,192.06047136758767,401,SOL-USDT,okex,okex/SOL-USDT
402,2022-11-17 17:29:30.000000000,13.503866666666665,13.512416666666667,450.8691158666667,2054.2533674833335,514.0801630833333,1951.6253048166666,0.008549999999999863,2505.12248335,2465.7054679000003,39.41701545000005,13.508141666666667,670.3825850833333,9065.116438129133,58.45,339.5537231833333,4589.5323735112825,29.433333333333334,-4.053659750000007,674.8997923864655,45606.61236676812,13.509097706148866,1.704350747553423e-07,,,,,,2.3116666666666665,2.2737499999999997,4.446666666666666,3.9425000000000003,3.7804166666666665,3.89625,23.76125,393.6416469577861,394.7517929576539,392.07506639360554,394.41202880359407,12945219.807622856,63.150214285714284,192.06047136758767,402,SOL-USDT,okex,okex/SOL-USDT
403,2022-11-17 18:29:30.000000000,13.553666666666667,13.56235,495.2264655166667,2145.3125868166667,433.6895060833333,1892.709119866667,0.008683333333333477,2640.5390523333335,2326.39862595,314.14042638333325,13.558008333333333,408.57924560000004,5546.681917741017,42.833333333333336,190.47787574999998,2585.7994122883997,20.533333333333335,-13.756516116666667,425.0608788264655,28862.397573285143,13.55972461252023,2.902074943156631e-07,,,,,,2.31,2.2725,4.449999999999999,3.9450000000000003,3.7825,3.8975,23.7275,393.8974704366792,394.9426894364808,392.2925995904083,394.49804320539107,12568787.711434282,63.152928571428575,192.06047136758767,403,SOL-USDT,okex,okex/SOL-USDT
404,2022-11-17 19:29:30.000000000,13.4632,13.471283333333334,856.6900943166668,2510.98879225,408.2261028166667,1701.6174113000002,0.00808333333333325,3367.6788865666667,2109.843514116667,1257.83537245,13.467241666666666,448.6965668666667,6044.09335617765,29.816666666666666,151.06209875,2036.0875279713332,13.016666666666667,3.189076666666663,447.35175822646556,30132.563959381157,13.468137461616378,2.4452863779477336e-07,,,,,,2.308333333333333,2.2712499999999998,4.453333333333333,3.9475000000000002,3.7845833333333334,3.89875,23.69375,394.15329391557225,395.1335859153077,392.5101327872111,394.5840576071881,12192355.61524571,63.15564285714286,192.06047136758767,404,SOL-USDT,okex,okex/SOL-USDT
