Date;Open;High;Low;Close;Volume
2022-10-27 15:00:00;380,13;381,33;379,33;380,01;12816617
2022-10-27 14:00:00;380,78;381,06;379,81;380,13;6061009
2022-10-27 13:00:00;381,56;382,77;380,73;380,78;6410336
2022-10-27 12:00:00;381,39;382,42;380,13;381,54;6409704
2022-10-27 11:00:00;382,18;383,46;380,89;381,35;6943428
2022-10-27 10:00:00;381,2;385;380,83;382,19;10201380
2022-10-27 09:00:00;383,07;384,33;380,52;381,2;6525868
2022-10-26 15:00:00;382,4;383,01;381,47;382,02;16328952
2022-10-26 14:00:00;383,78;384,34;381,97;382,41;7419144
2022-10-26 13:00:00;384,33;384,45;382,72;383,78;8479539
2022-10-26 12:00:00;386,81;387,24;384,05;384,34;7184104
2022-10-26 11:00:00;385,03;387,58;385,03;386,82;7494526
2022-10-26 10:00:00;381,72;385,95;381,72;385,04;11253727
2022-10-26 09:00:00;381,62;383,15;381,35;381,69;7411013
2022-10-25 15:00:00;383,55;385,25;383,52;384,66;16474025
2022-10-25 14:00:00;382,97;384,46;382,89;383,55;5808768
2022-10-25 13:00:00;383,09;383,58;382,31;382,97;6114010
2022-10-25 12:00:00;383,5;384,21;382,95;383,08;5093682
2022-10-25 11:00:00;382,23;383,89;382,03;383,49;6366810
2022-10-25 10:00:00;382,4;382,99;381,29;382,22;10482102
2022-10-25 09:00:00;378,79;382,6;378,72;382,37;8415855
2022-10-24 15:00:00;379,35;380,06;378,13;378,87;15816409
2022-10-24 14:00:00;377,17;379,5;377,05;379,34;5659124
2022-10-24 13:00:00;377,7;377,82;376,61;377,16;4567012
2022-10-24 12:00:00;378,09;378,68;377,44;377,69;5176328
2022-10-24 11:00:00;376,62;378,2;375,46;378,08;7023746
2022-10-24 10:00:00;377,69;377,71;373,11;376,62;11687728
2022-10-24 09:00:00;375,89;378,76;375,09;377,68;10220262
2022-10-21 15:00:00;372,9;374,8;372,73;374,25;20417727
2022-10-21 14:00:00;372,62;373,36;372,04;372,9;7496525
2022-10-21 13:00:00;371,32;372,66;370,71;372,6;7023672
2022-10-21 12:00:00;370,03;371,92;369,24;371,29;9587821
2022-10-21 11:00:00;366,79;370,04;365,79;370,03;8360519
2022-10-21 10:00:00;369,11;370,63;366,29;366,78;13250941
2022-10-21 09:00:00;365,12;369,13;363,54;369,08;10469340
2022-10-20 15:00:00;365,6;366,62;364,61;365,43;14927767
2022-10-20 14:00:00;366,09;366,23;364,66;365,61;8045282
2022-10-20 13:00:00;367,92;368,05;365,38;366,11;8113814
2022-10-20 12:00:00;370,25;370,38;367,19;367,94;8711408
2022-10-20 11:00:00;371,97;372,16;369,85;370,22;7054722
2022-10-20 10:00:00;369,11;372,67;368,98;371,96;9945191
2022-10-20 09:00:00;368,03;369,82;367;369,1;6715654
2022-10-19 15:00:00;367,19;368,73;366,91;368,45;12731675
2022-10-19 14:00:00;366,93;368,47;366,58;367,19;6661369
2022-10-19 13:00:00;367,23;367,48;365,55;366,93;7838419
2022-10-19 12:00:00;369,73;369,82;366,87;367,25;7235396
2022-10-19 11:00:00;369,68;370,74;368,67;369,73;6416972
2022-10-19 10:00:00;368,58;371,85;368,23;369,68;8743321
2022-10-19 09:00:00;368,99;370,94;367,85;368,59;7377143
