,time,exchange,symbol,ask_amount,ask_price,bid_price,bid_amount
8111,2022-11-06T15:11:00.000000,ftx,FTT-PERP,167.1,24.6115,24.581,20.0
8112,2022-11-06T15:12:00.000000,ftx,FTT-PERP,15.9,24.6055,24.6005,9.3
8113,2022-11-06T15:13:00.000000,ftx,FTT-PERP,2.0,24.464,24.4605,23.3
8114,2022-11-06T15:14:00.000000,ftx,FTT-PERP,20.0,24.5905,24.58,14.5
8115,2022-11-06T15:15:00.000000,ftx,FTT-PERP,20.0,24.5595,24.554,110.5
8116,2022-11-06T15:16:00.000000,ftx,FTT-PERP,47.0,24.5095,24.505,29.5
8117,2022-11-06T15:17:00.000000,ftx,FTT-PERP,50.9,24.473,24.4695,1.5
8118,2022-11-06T15:18:00.000000,ftx,FTT-PERP,9.3,24.3715,24.3595,47.0
8119,2022-11-06T15:19:00.000000,ftx,FTT-PERP,26.4,24.3875,24.379,89.8
8120,2022-11-06T15:20:00.000000,ftx,FTT-PERP,10.2,24.3415,24.3405,6.0
8121,2022-11-06T15:21:00.000000,ftx,FTT-PERP,115.3,24.203,24.2005,125.9
8122,2022-11-06T15:22:00.000000,ftx,FTT-PERP,25.1,24.1425,24.1325,111.4
8123,2022-11-06T15:23:00.000000,ftx,FTT-PERP,47.0,24.2745,24.2635,0.9
8124,2022-11-06T15:24:00.000000,ftx,FTT-PERP,15.9,24.137,24.1345,350.7
8125,2022-11-06T15:25:00.000000,ftx,FTT-PERP,123.1,24.141,24.134,14.3
8126,2022-11-06T15:26:00.000000,ftx,FTT-PERP,33.3,24.1875,24.184,5.3
8127,2022-11-06T15:27:00.000000,ftx,FTT-PERP,0.9,24.173,24.1615,47.0
8128,2022-11-06T15:28:00.000000,ftx,FTT-PERP,25.4,24.178,24.1775,7.8
8129,2022-11-06T15:29:00.000000,ftx,FTT-PERP,10.3,24.159,24.15,1903.3
8130,2022-11-06T15:30:00.000000,ftx,FTT-PERP,32.8,24.076,24.066,5.1
8131,2022-11-06T15:31:00.000000,ftx,FTT-PERP,137.3,23.9275,23.9155,20.0
8132,2022-11-06T15:32:00.000000,ftx,FTT-PERP,2.7,23.955,23.944,64.4
8133,2022-11-06T15:33:00.000000,ftx,FTT-PERP,0.9,24.03,24.0225,50.1
8134,2022-11-06T15:34:00.000000,ftx,FTT-PERP,36.2,24.0065,24.0005,7.2
8135,2022-11-06T15:35:00.000000,ftx,FTT-PERP,65.9,23.9955,23.99,10.4
8136,2022-11-06T15:36:00.000000,ftx,FTT-PERP,49.9,23.996,23.9925,64.4
8137,2022-11-06T15:37:00.000000,ftx,FTT-PERP,67.0,24.099,24.093,40.6
8138,2022-11-06T15:38:00.000000,ftx,FTT-PERP,252.7,24.0345,24.0285,0.1
8139,2022-11-06T15:39:00.000000,ftx,FTT-PERP,20.0,23.9955,23.993,0.7
8140,2022-11-06T15:40:00.000000,ftx,FTT-PERP,38.4,24.0725,24.07,29.5
8141,2022-11-06T15:41:00.000000,ftx,FTT-PERP,64.6,24.085,24.0795,20.0
