,exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
22211,okex-swap,BTC-USDT-SWAP,1668624839944000,2022-11-16T18:53:00.000000,16564.0,16564.1,1404.0,2119.0,931.0,2325.0
22212,okex-swap,BTC-USDT-SWAP,1668624899994000,2022-11-16T18:54:00.000000,16560.0,16560.1,109.0,1543.0,1534.0,3977.0
22213,okex-swap,BTC-USDT-SWAP,1668624959994000,2022-11-16T18:55:00.000000,16553.3,16553.4,596.0,1506.0,618.0,1621.0
22214,okex-swap,BTC-USDT-SWAP,1668625019994000,2022-11-16T18:56:00.000000,16555.7,16555.8,800.0,1868.0,759.0,3019.0
22215,okex-swap,BTC-USDT-SWAP,1668625079964000,2022-11-16T18:57:00.000000,16545.4,16545.5,699.0,1290.0,852.0,1853.0
22216,okex-swap,BTC-USDT-SWAP,1668625139994000,2022-11-16T18:58:00.000000,16555.6,16555.7,379.0,1351.0,661.0,2210.0
22217,okex-swap,BTC-USDT-SWAP,1668625199854000,2022-11-16T18:59:00.000000,16554.4,16554.5,798.0,1931.0,867.0,2011.0
22218,okex-swap,BTC-USDT-SWAP,1668625259924000,2022-11-16T19:00:00.000000,16548.3,16548.4,533.0,1473.0,1165.0,3193.0
22219,okex-swap,BTC-USDT-SWAP,1668625319994000,2022-11-16T19:01:00.000000,16550.7,16550.8,405.0,1335.0,1829.0,4256.0
22220,okex-swap,BTC-USDT-SWAP,1668625379994000,2022-11-16T19:02:00.000000,16548.6,16548.7,491.0,1291.0,763.0,2052.0
22221,okex-swap,BTC-USDT-SWAP,1668625439994000,2022-11-16T19:03:00.000000,16552.2,16552.3,696.0,1586.0,691.0,1986.0
22222,okex-swap,BTC-USDT-SWAP,1668625499944000,2022-11-16T19:04:00.000000,16550.5,16550.6,381.0,1222.0,1205.0,3082.0
22223,okex-swap,BTC-USDT-SWAP,1668625559994000,2022-11-16T19:05:00.000000,16507.7,16507.8,2900.0,3542.0,1221.0,3673.0
22224,okex-swap,BTC-USDT-SWAP,1668625619994000,2022-11-16T19:06:00.000000,16499.3,16499.4,340.0,864.0,1168.0,1918.0
22225,okex-swap,BTC-USDT-SWAP,1668625679994000,2022-11-16T19:07:00.000000,16497.9,16498.0,1417.0,2307.0,432.0,1448.0
22226,okex-swap,BTC-USDT-SWAP,1668625739994000,2022-11-16T19:08:00.000000,16509.9,16510.0,2021.0,3239.0,515.0,1135.0
22227,okex-swap,BTC-USDT-SWAP,1668625799994000,2022-11-16T19:09:00.000000,16503.1,16503.2,936.0,2691.0,635.0,2475.0
22228,okex-swap,BTC-USDT-SWAP,1668625859991000,2022-11-16T19:10:00.000000,16491.0,16491.1,429.0,795.0,1550.0,3257.0
22229,okex-swap,BTC-USDT-SWAP,1668625919981000,2022-11-16T19:11:00.000000,16482.0,16482.1,498.0,1485.0,650.0,1485.0
22230,okex-swap,BTC-USDT-SWAP,1668625979991000,2022-11-16T19:12:00.000000,16471.4,16471.5,487.0,1268.0,1054.0,2064.0
22231,okex-swap,BTC-USDT-SWAP,1668626039961000,2022-11-16T19:13:00.000000,16489.4,16489.5,480.0,923.0,1153.0,2099.0
