,market_comparison,Shift,Correlation
51,binance-futures/ETHUSDT - bitstamp/ETHUSD,-10,0.009646726910935575
52,binance-futures/ETHUSDT - bitstamp/ETHUSD,-9,-0.018326834005880144
53,binance-futures/ETHUSDT - bitstamp/ETHUSD,-8,-0.007389546395265117
54,binance-futures/ETHUSDT - bitstamp/ETHUSD,-7,0.01884438007303203
55,binance-futures/ETHUSDT - bitstamp/ETHUSD,-6,-0.03634702379777463
56,binance-futures/ETHUSDT - bitstamp/ETHUSD,-5,-0.01353432826186738
57,binance-futures/ETHUSDT - bitstamp/ETHUSD,-4,0.003646657491922759
58,binance-futures/ETHUSDT - bitstamp/ETHUSD,-3,0.0029223210734309235
59,binance-futures/ETHUSDT - bitstamp/ETHUSD,-2,-0.03317862138814858
60,binance-futures/ETHUSDT - bitstamp/ETHUSD,-1,0.13609104586866652
61,binance-futures/ETHUSDT - bitstamp/ETHUSD,0,0.8533744399807962
62,binance-futures/ETHUSDT - bitstamp/ETHUSD,1,0.22217954949607432
63,binance-futures/ETHUSDT - bitstamp/ETHUSD,2,-0.013985296767828068
64,binance-futures/ETHUSDT - bitstamp/ETHUSD,3,8.939591779472477e-06
65,binance-futures/ETHUSDT - bitstamp/ETHUSD,4,0.01410049705505942
66,binance-futures/ETHUSDT - bitstamp/ETHUSD,5,-0.01633690539197733
67,binance-futures/ETHUSDT - bitstamp/ETHUSD,6,-0.02749905482385528
68,binance-futures/ETHUSDT - bitstamp/ETHUSD,7,0.009180343075911515
69,binance-futures/ETHUSDT - bitstamp/ETHUSD,8,-0.011020164559143838
70,binance-futures/ETHUSDT - bitstamp/ETHUSD,9,-0.014085776755911428
71,binance-futures/ETHUSDT - bitstamp/ETHUSD,10,0.01395867062102564
72,binance-futures/ETHUSDT - bitstamp/ETHUSD,11,0.025162389558838035
73,binance-futures/ETHUSDT - bitstamp/ETHUSD,12,0.0009966306342902354
74,binance-futures/ETHUSDT - bitstamp/ETHUSD,13,-0.011995702804301421
75,binance-futures/ETHUSDT - bitstamp/ETHUSD,14,0.011572788954487283
76,binance-futures/ETHUSDT - bitstamp/ETHUSD,15,0.0103833877239357
77,binance-futures/ETHUSDT - bitstamp/ETHUSD,16,-0.01953656476856376
78,binance-futures/ETHUSDT - bitstamp/ETHUSD,17,-0.00011532575115323755
79,binance-futures/ETHUSDT - bitstamp/ETHUSD,18,-0.005428754110367223
80,binance-futures/ETHUSDT - bitstamp/ETHUSD,19,-0.013103057925398436
81,binance-futures/ETHUSDT - bitstamp/ETHUSD,20,-0.0032717699826503746
82,binance-futures/ETHUSDT - ftx/ETH-PERP,-20,0.001782755672462408
83,binance-futures/ETHUSDT - ftx/ETH-PERP,-19,0.003011170437303592
84,binance-futures/ETHUSDT - ftx/ETH-PERP,-18,-0.004126259089316684
