,market_comparison,statistic,value
209,ftx/SOL-PERP - okex-swap/SOL-USDT-SWAP,mean,3.0411240176031508e-09
210,ftx/SOL-PERP - okex-swap/SOL-USDT-SWAP,std,0.0034238279107765717
211,ftx/SOL-PERP - okex-swap/SOL-USDT-SWAP,min,-0.10097743355112465
212,ftx/SOL-PERP - okex-swap/SOL-USDT-SWAP,25%,-0.00032939159401657037
213,ftx/SOL-PERP - okex-swap/SOL-USDT-SWAP,50%,0.0
214,ftx/SOL-PERP - okex-swap/SOL-USDT-SWAP,75%,0.00032878184571605296
215,ftx/SOL-PERP - okex-swap/SOL-USDT-SWAP,max,0.12128318734257304
216,ftx/SOL-PERP - okex/SOL-USDT,count,28799.0
217,ftx/SOL-PERP - okex/SOL-USDT,mean,-4.190731852143357e-09
218,ftx/SOL-PERP - okex/SOL-USDT,std,0.0030789229735435743
219,ftx/SOL-PERP - okex/SOL-USDT,min,-0.0626181530821679
220,ftx/SOL-PERP - okex/SOL-USDT,25%,-0.00041005403365113047
221,ftx/SOL-PERP - okex/SOL-USDT,50%,-5.732937746305566e-06
222,ftx/SOL-PERP - okex/SOL-USDT,75%,0.000402610551262228
223,ftx/SOL-PERP - okex/SOL-USDT,max,0.06850815602495253
224,ftx/SOL/USD - binance-futures/SOLUSDT,count,28799.0
225,ftx/SOL/USD - binance-futures/SOLUSDT,mean,1.2705397962204503e-08
226,ftx/SOL/USD - binance-futures/SOLUSDT,std,0.014439769302846508
227,ftx/SOL/USD - binance-futures/SOLUSDT,min,-0.2783294484571255
228,ftx/SOL/USD - binance-futures/SOLUSDT,25%,-0.00028582808205124266
229,ftx/SOL/USD - binance-futures/SOLUSDT,50%,2.6304157390022453e-06
230,ftx/SOL/USD - binance-futures/SOLUSDT,75%,0.00029943153241962506
231,ftx/SOL/USD - binance-futures/SOLUSDT,max,0.27774835941282516
232,ftx/SOL/USD - binance/SOLUSDT,count,28799.0
233,ftx/SOL/USD - binance/SOLUSDT,mean,1.7363690570990888e-08
234,ftx/SOL/USD - binance/SOLUSDT,std,0.014357835294052983
235,ftx/SOL/USD - binance/SOLUSDT,min,-0.2781988388565728
