,market_comparison,statistic,value
129,gate-io/BTC_USDT - ftx/BTC-PERP,mean,8.513314868693506e-09
130,gate-io/BTC_USDT - ftx/BTC-PERP,std,0.0009380924599784805
131,gate-io/BTC_USDT - ftx/BTC-PERP,min,-0.038914795788029366
132,gate-io/BTC_USDT - ftx/BTC-PERP,25%,-0.00012148631045416636
133,gate-io/BTC_USDT - ftx/BTC-PERP,50%,0.0
134,gate-io/BTC_USDT - ftx/BTC-PERP,75%,0.00012075601276428927
135,gate-io/BTC_USDT - ftx/BTC-PERP,max,0.031183789377513094
136,gate-io/BTC_USDT - ftx/BTC/USD,count,28799.0
137,gate-io/BTC_USDT - ftx/BTC/USD,mean,9.78884203190329e-10
138,gate-io/BTC_USDT - ftx/BTC/USD,std,0.0010836115548019404
139,gate-io/BTC_USDT - ftx/BTC/USD,min,-0.03988966059734089
140,gate-io/BTC_USDT - ftx/BTC/USD,25%,-0.00013434591301475507
141,gate-io/BTC_USDT - ftx/BTC/USD,50%,0.0
142,gate-io/BTC_USDT - ftx/BTC/USD,75%,0.00013465550220637112
143,gate-io/BTC_USDT - ftx/BTC/USD,max,0.03372840827498358
144,gate-io/BTC_USDT - okex-swap/BTC-USDT-SWAP,count,28800.0
145,gate-io/BTC_USDT - okex-swap/BTC-USDT-SWAP,mean,0.0
146,gate-io/BTC_USDT - okex-swap/BTC-USDT-SWAP,std,0.0004588464884246936
147,gate-io/BTC_USDT - okex-swap/BTC-USDT-SWAP,min,-0.03472809811738209
148,gate-io/BTC_USDT - okex-swap/BTC-USDT-SWAP,25%,-8.532938843774929e-05
149,gate-io/BTC_USDT - okex-swap/BTC-USDT-SWAP,50%,0.0
150,gate-io/BTC_USDT - okex-swap/BTC-USDT-SWAP,75%,8.651502869838623e-05
151,gate-io/BTC_USDT - okex-swap/BTC-USDT-SWAP,max,0.03473811815769423
152,gate-io/BTC_USDT - okex/BTC-USDT,count,28800.0
153,gate-io/BTC_USDT - okex/BTC-USDT,mean,-5.920133416949093e-09
154,gate-io/BTC_USDT - okex/BTC-USDT,std,0.000498315201571218
155,gate-io/BTC_USDT - okex/BTC-USDT,min,-0.034588377391282066
156,gate-io/BTC_USDT - okex/BTC-USDT,25%,-0.00011690976703926381
157,gate-io/BTC_USDT - okex/BTC-USDT,50%,1.093871917490219e-07
158,gate-io/BTC_USDT - okex/BTC-USDT,75%,0.0001198757257059313
159,gate-io/BTC_USDT - okex/BTC-USDT,max,0.03423803220554866
160,okex-swap/BTC-USDT-SWAP - bitstamp/BTCUSD,count,28799.0
161,okex-swap/BTC-USDT-SWAP - bitstamp/BTCUSD,mean,1.5362233315227216e-08
162,okex-swap/BTC-USDT-SWAP - bitstamp/BTCUSD,std,0.000594304509440646
163,okex-swap/BTC-USDT-SWAP - bitstamp/BTCUSD,min,-0.02078794802006101
164,okex-swap/BTC-USDT-SWAP - bitstamp/BTCUSD,25%,-0.0001558430497352603
165,okex-swap/BTC-USDT-SWAP - bitstamp/BTCUSD,50%,0.0
166,okex-swap/BTC-USDT-SWAP - bitstamp/BTCUSD,75%,0.00015738131086973084
167,okex-swap/BTC-USDT-SWAP - bitstamp/BTCUSD,max,0.019758531463304863
168,okex-swap/BTC-USDT-SWAP - ftx/BTC-PERP,count,28799.0
169,okex-swap/BTC-USDT-SWAP - ftx/BTC-PERP,mean,1.310563985201452e-08
170,okex-swap/BTC-USDT-SWAP - ftx/BTC-PERP,std,0.0008739435775295546
171,okex-swap/BTC-USDT-SWAP - ftx/BTC-PERP,min,-0.031139457375372714
172,okex-swap/BTC-USDT-SWAP - ftx/BTC-PERP,25%,-0.00012475579820137028
173,okex-swap/BTC-USDT-SWAP - ftx/BTC-PERP,50%,0.0
174,okex-swap/BTC-USDT-SWAP - ftx/BTC-PERP,75%,0.00012268563885431405
175,okex-swap/BTC-USDT-SWAP - ftx/BTC-PERP,max,0.025843967526434142
176,okex-swap/BTC-USDT-SWAP - ftx/BTC/USD,count,28799.0
177,okex-swap/BTC-USDT-SWAP - ftx/BTC/USD,mean,5.571209186511343e-09
178,okex-swap/BTC-USDT-SWAP - ftx/BTC/USD,std,0.0010442925079666976
179,okex-swap/BTC-USDT-SWAP - ftx/BTC/USD,min,-0.039810981078233
180,okex-swap/BTC-USDT-SWAP - ftx/BTC/USD,25%,-0.00014035885057683828
181,okex-swap/BTC-USDT-SWAP - ftx/BTC/USD,50%,0.0
182,okex-swap/BTC-USDT-SWAP - ftx/BTC/USD,75%,0.00013801744356456425
183,okex-swap/BTC-USDT-SWAP - ftx/BTC/USD,max,0.03278483717966374
184,okex-swap/BTC-USDT-SWAP - gate-io/BTC_USDT,count,28800.0
185,okex-swap/BTC-USDT-SWAP - gate-io/BTC_USDT,mean,0.0
186,okex-swap/BTC-USDT-SWAP - gate-io/BTC_USDT,std,0.0004588464884246936
187,okex-swap/BTC-USDT-SWAP - gate-io/BTC_USDT,min,-0.03473811815769423
188,okex-swap/BTC-USDT-SWAP - gate-io/BTC_USDT,25%,-8.651502869838623e-05
189,okex-swap/BTC-USDT-SWAP - gate-io/BTC_USDT,50%,0.0
190,okex-swap/BTC-USDT-SWAP - gate-io/BTC_USDT,75%,8.532938843774929e-05
