,market_comparison,statistic,value
131,bitstamp/ETHUSD - ftx/ETH-PERP,min,-0.04198932260498456
132,bitstamp/ETHUSD - ftx/ETH-PERP,25%,-4.291782642651398e-05
133,bitstamp/ETHUSD - ftx/ETH-PERP,50%,0.0
134,bitstamp/ETHUSD - ftx/ETH-PERP,75%,4.6730386268123425e-05
135,bitstamp/ETHUSD - ftx/ETH-PERP,max,0.040370550933185534
136,bitstamp/ETHUSD - ftx/ETH/USD,count,28799.0
137,bitstamp/ETHUSD - ftx/ETH/USD,mean,3.127294825783624e-09
138,bitstamp/ETHUSD - ftx/ETH/USD,std,0.006572287495961539
139,bitstamp/ETHUSD - ftx/ETH/USD,min,-0.1728554284383046
140,bitstamp/ETHUSD - ftx/ETH/USD,25%,-4.339727795032999e-05
141,bitstamp/ETHUSD - ftx/ETH/USD,50%,0.0
142,bitstamp/ETHUSD - ftx/ETH/USD,75%,5.3957890575606626e-05
143,bitstamp/ETHUSD - ftx/ETH/USD,max,0.1766917900896381
144,bitstamp/ETHUSD - gate-io/ETH_USDT,count,28799.0
145,bitstamp/ETHUSD - gate-io/ETH_USDT,mean,1.3495126669231672e-08
146,bitstamp/ETHUSD - gate-io/ETH_USDT,std,0.0014303062391947798
147,bitstamp/ETHUSD - gate-io/ETH_USDT,min,-0.07928920826612895
148,bitstamp/ETHUSD - gate-io/ETH_USDT,25%,-0.00027549778147406556
149,bitstamp/ETHUSD - gate-io/ETH_USDT,50%,0.0
150,bitstamp/ETHUSD - gate-io/ETH_USDT,75%,0.0002768867570241973
151,bitstamp/ETHUSD - gate-io/ETH_USDT,max,0.07928325071425224
152,bitstamp/ETHUSD - okex-swap/ETH-USDT-SWAP,count,28799.0
153,bitstamp/ETHUSD - okex-swap/ETH-USDT-SWAP,mean,4.198244869139083e-10
154,bitstamp/ETHUSD - okex-swap/ETH-USDT-SWAP,std,0.0008123520938559665
155,bitstamp/ETHUSD - okex-swap/ETH-USDT-SWAP,min,-0.01865316015563767
156,bitstamp/ETHUSD - okex-swap/ETH-USDT-SWAP,25%,-0.000258485971967648
157,bitstamp/ETHUSD - okex-swap/ETH-USDT-SWAP,50%,0.0
158,bitstamp/ETHUSD - okex-swap/ETH-USDT-SWAP,75%,0.0002564692668909352
159,bitstamp/ETHUSD - okex-swap/ETH-USDT-SWAP,max,0.01706782485167757
160,bitstamp/ETHUSD - okex/ETH-USDT,count,28799.0
161,bitstamp/ETHUSD - okex/ETH-USDT,mean,-2.926805622403291e-09
162,bitstamp/ETHUSD - okex/ETH-USDT,std,0.0008356682540749892
163,bitstamp/ETHUSD - okex/ETH-USDT,min,-0.019010744443938243
164,bitstamp/ETHUSD - okex/ETH-USDT,25%,-0.0002874205293492693
165,bitstamp/ETHUSD - okex/ETH-USDT,50%,-6.68555276028826e-07
166,bitstamp/ETHUSD - okex/ETH-USDT,75%,0.0002853421834028147
167,bitstamp/ETHUSD - okex/ETH-USDT,max,0.016904331247176607
168,ftx/ETH-PERP - binance-futures/ETHUSDT,count,28799.0
169,ftx/ETH-PERP - binance-futures/ETHUSDT,mean,2.2153897519470948e-08
170,ftx/ETH-PERP - binance-futures/ETHUSDT,std,0.0014665604534615279
171,ftx/ETH-PERP - binance-futures/ETHUSDT,min,-0.040787323555000476
172,ftx/ETH-PERP - binance-futures/ETHUSDT,25%,-0.00017944029161043318
173,ftx/ETH-PERP - binance-futures/ETHUSDT,50%,-1.7018228346543651e-06
174,ftx/ETH-PERP - binance-futures/ETHUSDT,75%,0.00017779793961381074
175,ftx/ETH-PERP - binance-futures/ETHUSDT,max,0.04222114190208259
176,ftx/ETH-PERP - binance/ETHUSDT,count,28799.0
177,ftx/ETH-PERP - binance/ETHUSDT,mean,1.5146002785235607e-08
178,ftx/ETH-PERP - binance/ETHUSDT,std,0.0014594091925688672
179,ftx/ETH-PERP - binance/ETHUSDT,min,-0.04079826905819495
180,ftx/ETH-PERP - binance/ETHUSDT,25%,-0.00017717408434503312
181,ftx/ETH-PERP - binance/ETHUSDT,50%,0.0
182,ftx/ETH-PERP - binance/ETHUSDT,75%,0.00017734343111275308
183,ftx/ETH-PERP - binance/ETHUSDT,max,0.042236058679375965
184,ftx/ETH-PERP - bitstamp/ETHUSD,count,28799.0
185,ftx/ETH-PERP - bitstamp/ETHUSD,mean,1.289530356212892e-08
186,ftx/ETH-PERP - bitstamp/ETHUSD,std,0.0015084212749196075
187,ftx/ETH-PERP - bitstamp/ETHUSD,min,-0.040370550933185534
188,ftx/ETH-PERP - bitstamp/ETHUSD,25%,-4.6730386268123425e-05
189,ftx/ETH-PERP - bitstamp/ETHUSD,50%,0.0
190,ftx/ETH-PERP - bitstamp/ETHUSD,75%,4.291782642651398e-05
191,ftx/ETH-PERP - bitstamp/ETHUSD,max,0.04198932260498456
192,ftx/ETH-PERP - ftx/ETH/USD,count,28799.0
193,ftx/ETH-PERP - ftx/ETH/USD,mean,1.6022598387912544e-08
194,ftx/ETH-PERP - ftx/ETH/USD,std,0.00665774440411597
195,ftx/ETH-PERP - ftx/ETH/USD,min,-0.1706147479147111
196,ftx/ETH-PERP - ftx/ETH/USD,25%,-2.866172203752626e-05
197,ftx/ETH-PERP - ftx/ETH/USD,50%,0.0
198,ftx/ETH-PERP - ftx/ETH/USD,75%,2.9622682935048772e-05
199,ftx/ETH-PERP - ftx/ETH/USD,max,0.17874048454099078
200,ftx/ETH-PERP - gate-io/ETH_USDT,count,28799.0
201,ftx/ETH-PERP - gate-io/ETH_USDT,mean,2.6390430231360592e-08
202,ftx/ETH-PERP - gate-io/ETH_USDT,std,0.001877450213026108
203,ftx/ETH-PERP - gate-io/ETH_USDT,min,-0.0783503806312531
204,ftx/ETH-PERP - gate-io/ETH_USDT,25%,-0.00021853520435088925
205,ftx/ETH-PERP - gate-io/ETH_USDT,50%,0.0
206,ftx/ETH-PERP - gate-io/ETH_USDT,75%,0.00022125803252182052
207,ftx/ETH-PERP - gate-io/ETH_USDT,max,0.07863522314191496
208,ftx/ETH-PERP - okex-swap/ETH-USDT-SWAP,count,28799.0
209,ftx/ETH-PERP - okex-swap/ETH-USDT-SWAP,mean,1.3315128049042829e-08
210,ftx/ETH-PERP - okex-swap/ETH-USDT-SWAP,std,0.0014705362571777567
211,ftx/ETH-PERP - okex-swap/ETH-USDT-SWAP,min,-0.04079685735182981
212,ftx/ETH-PERP - okex-swap/ETH-USDT-SWAP,25%,-0.00019087118133720438
213,ftx/ETH-PERP - okex-swap/ETH-USDT-SWAP,50%,0.0
214,ftx/ETH-PERP - okex-swap/ETH-USDT-SWAP,75%,0.00019039700476364274
215,ftx/ETH-PERP - okex-swap/ETH-USDT-SWAP,max,0.04213443017769425
216,ftx/ETH-PERP - okex/ETH-USDT,count,28799.0
217,ftx/ETH-PERP - okex/ETH-USDT,mean,9.96849793972563e-09
218,ftx/ETH-PERP - okex/ETH-USDT,std,0.0014872667788341344
219,ftx/ETH-PERP - okex/ETH-USDT,min,-0.04080141211609423
220,ftx/ETH-PERP - okex/ETH-USDT,25%,-0.00024511171438890145
221,ftx/ETH-PERP - okex/ETH-USDT,50%,-9.003463974366355e-07
222,ftx/ETH-PERP - okex/ETH-USDT,75%,0.00024111494147138757
223,ftx/ETH-PERP - okex/ETH-USDT,max,0.04153875125781692
224,ftx/ETH/USD - binance-futures/ETHUSDT,count,28799.0
225,ftx/ETH/USD - binance-futures/ETHUSDT,mean,6.131299131558405e-09
226,ftx/ETH/USD - binance-futures/ETHUSDT,std,0.006563621475643878
227,ftx/ETH/USD - binance-futures/ETHUSDT,min,-0.17720908916018896
228,ftx/ETH/USD - binance-futures/ETHUSDT,25%,-0.0002043488113687708
229,ftx/ETH/USD - binance-futures/ETHUSDT,50%,-8.231977401962354e-07
230,ftx/ETH/USD - binance-futures/ETHUSDT,75%,0.0002004683335279367
231,ftx/ETH/USD - binance-futures/ETHUSDT,max,0.17353090733469578
232,ftx/ETH/USD - binance/ETHUSDT,count,28799.0
233,ftx/ETH/USD - binance/ETHUSDT,mean,-8.765956026769375e-10
234,ftx/ETH/USD - binance/ETHUSDT,std,0.006561184937825237
