,market_comparison,statistic,value
115,bitstamp/FTTUSD - gate-io/FTT_USDT,min,-0.7900162217800273
116,bitstamp/FTTUSD - gate-io/FTT_USDT,25%,-0.0008062373307835269
117,bitstamp/FTTUSD - gate-io/FTT_USDT,50%,4.579964222095612e-06
118,bitstamp/FTTUSD - gate-io/FTT_USDT,75%,0.0007935159841159778
119,bitstamp/FTTUSD - gate-io/FTT_USDT,max,0.7762222798336993
120,ftx/FTT-PERP - binance-futures/FTTUSDT,count,18878.0
121,ftx/FTT-PERP - binance-futures/FTTUSDT,mean,1.725438225463767e-06
122,ftx/FTT-PERP - binance-futures/FTTUSDT,std,0.009212038550900836
123,ftx/FTT-PERP - binance-futures/FTTUSDT,min,-0.36641030085419013
124,ftx/FTT-PERP - binance-futures/FTTUSDT,25%,-0.00044164381450295664
125,ftx/FTT-PERP - binance-futures/FTTUSDT,50%,2.018986768881348e-07
126,ftx/FTT-PERP - binance-futures/FTTUSDT,75%,0.00043867327342872464
127,ftx/FTT-PERP - binance-futures/FTTUSDT,max,0.36368584533245485
128,ftx/FTT-PERP - binance/FTTUSDT,count,20393.0
129,ftx/FTT-PERP - binance/FTTUSDT,mean,-1.954704552150984e-07
130,ftx/FTT-PERP - binance/FTTUSDT,std,0.010056841168434603
131,ftx/FTT-PERP - binance/FTTUSDT,min,-0.36665618394978317
132,ftx/FTT-PERP - binance/FTTUSDT,25%,-0.0002869465798824855
133,ftx/FTT-PERP - binance/FTTUSDT,50%,0.0
134,ftx/FTT-PERP - binance/FTTUSDT,75%,0.00028385219914994764
135,ftx/FTT-PERP - binance/FTTUSDT,max,0.36665618394978317
136,ftx/FTT-PERP - bitstamp/FTTUSD,count,20394.0
137,ftx/FTT-PERP - bitstamp/FTTUSD,mean,-1.747755234034246e-07
138,ftx/FTT-PERP - bitstamp/FTTUSD,std,0.021751460265494776
139,ftx/FTT-PERP - bitstamp/FTTUSD,min,-0.7677947935490299
140,ftx/FTT-PERP - bitstamp/FTTUSD,25%,-0.0002862720077581038
141,ftx/FTT-PERP - bitstamp/FTTUSD,50%,0.0
142,ftx/FTT-PERP - bitstamp/FTTUSD,75%,0.00028196615586262297
143,ftx/FTT-PERP - bitstamp/FTTUSD,max,0.7777235189625755
144,ftx/FTT-PERP - ftx/FTT/USD,count,20426.0
145,ftx/FTT-PERP - ftx/FTT/USD,mean,-6.56092653477095e-08
146,ftx/FTT-PERP - ftx/FTT/USD,std,0.007486382854509148
147,ftx/FTT-PERP - ftx/FTT/USD,min,-0.17750734635000515
148,ftx/FTT-PERP - ftx/FTT/USD,25%,-0.0002396580960378758
149,ftx/FTT-PERP - ftx/FTT/USD,50%,0.0
150,ftx/FTT-PERP - ftx/FTT/USD,75%,0.00024113112924517566
151,ftx/FTT-PERP - ftx/FTT/USD,max,0.29381025898140556
152,ftx/FTT-PERP - gate-io/FTT_USDT,count,20426.0
153,ftx/FTT-PERP - gate-io/FTT_USDT,mean,-4.1353325136975853e-07
154,ftx/FTT-PERP - gate-io/FTT_USDT,std,0.013022002130835675
155,ftx/FTT-PERP - gate-io/FTT_USDT,min,-0.3665611945697857
156,ftx/FTT-PERP - gate-io/FTT_USDT,25%,-0.0008248140341806653
157,ftx/FTT-PERP - gate-io/FTT_USDT,50%,-1.9685929641966027e-07
158,ftx/FTT-PERP - gate-io/FTT_USDT,75%,0.0008039689605693345
159,ftx/FTT-PERP - gate-io/FTT_USDT,max,0.3607903886793887
160,ftx/FTT/USD - binance-futures/FTTUSDT,count,18878.0
161,ftx/FTT/USD - binance-futures/FTTUSDT,mean,1.7908072093307175e-06
162,ftx/FTT/USD - binance-futures/FTTUSDT,std,0.010642774419386384
163,ftx/FTT/USD - binance-futures/FTTUSDT,min,-0.36641030085419013
164,ftx/FTT/USD - binance-futures/FTTUSDT,25%,-0.0004927947106871389
165,ftx/FTT/USD - binance-futures/FTTUSDT,50%,1.5148676268950112e-06
166,ftx/FTT/USD - binance-futures/FTTUSDT,75%,0.0005035608510322032
167,ftx/FTT/USD - binance-futures/FTTUSDT,max,0.36368584533245485
168,ftx/FTT/USD - binance/FTTUSDT,count,20393.0
169,ftx/FTT/USD - binance/FTTUSDT,mean,-7.497195320163754e-08
170,ftx/FTT/USD - binance/FTTUSDT,std,0.01139187231876783
171,ftx/FTT/USD - binance/FTTUSDT,min,-0.36665618394978317
172,ftx/FTT/USD - binance/FTTUSDT,25%,-0.0002995361438533628
173,ftx/FTT/USD - binance/FTTUSDT,50%,0.0
174,ftx/FTT/USD - binance/FTTUSDT,75%,0.00030242806937685884
175,ftx/FTT/USD - binance/FTTUSDT,max,0.36665618394978317
176,ftx/FTT/USD - bitstamp/FTTUSD,count,20394.0
177,ftx/FTT/USD - bitstamp/FTTUSD,mean,-5.428292991710474e-08
178,ftx/FTT/USD - bitstamp/FTTUSD,std,0.022487666500054057
179,ftx/FTT/USD - bitstamp/FTTUSD,min,-0.7908508738972846
180,ftx/FTT/USD - bitstamp/FTTUSD,25%,-0.0003007958298784086
181,ftx/FTT/USD - bitstamp/FTTUSD,50%,0.0
182,ftx/FTT/USD - bitstamp/FTTUSD,75%,0.00030176020211891696
183,ftx/FTT/USD - bitstamp/FTTUSD,max,0.7951123408047467
184,ftx/FTT/USD - ftx/FTT-PERP,count,20426.0
185,ftx/FTT/USD - ftx/FTT-PERP,mean,6.56092653477095e-08
186,ftx/FTT/USD - ftx/FTT-PERP,std,0.007486382854509148
187,ftx/FTT/USD - ftx/FTT-PERP,min,-0.29381025898140556
188,ftx/FTT/USD - ftx/FTT-PERP,25%,-0.00024113112924517566
189,ftx/FTT/USD - ftx/FTT-PERP,50%,0.0
190,ftx/FTT/USD - ftx/FTT-PERP,75%,0.0002396580960378758
191,ftx/FTT/USD - ftx/FTT-PERP,max,0.17750734635000515
