,market_comparison,Shift,Correlation
108,binance-futures/SOLUSDT - ftx/SOL-PERP,6,-0.013705513338645144
109,binance-futures/SOLUSDT - ftx/SOL-PERP,7,-0.036059878424412974
110,binance-futures/SOLUSDT - ftx/SOL-PERP,8,-0.05003066142118653
111,binance-futures/SOLUSDT - ftx/SOL-PERP,9,-0.004803076661058824
112,binance-futures/SOLUSDT - ftx/SOL-PERP,10,0.004395136090137736
113,binance-futures/SOLUSDT - ftx/SOL-PERP,11,-0.013992690442819783
114,binance-futures/SOLUSDT - ftx/SOL-PERP,12,-0.004746328924717487
115,binance-futures/SOLUSDT - ftx/SOL-PERP,13,-0.01571568539640155
116,binance-futures/SOLUSDT - ftx/SOL-PERP,14,0.010869515224347677
117,binance-futures/SOLUSDT - ftx/SOL-PERP,15,0.03127625835838746
118,binance-futures/SOLUSDT - ftx/SOL-PERP,16,0.015815597701130297
119,binance-futures/SOLUSDT - ftx/SOL-PERP,17,0.02562033566677068
120,binance-futures/SOLUSDT - ftx/SOL-PERP,18,-0.0109081295248899
121,binance-futures/SOLUSDT - ftx/SOL-PERP,19,0.004595863899068323
122,binance-futures/SOLUSDT - ftx/SOL-PERP,20,0.002346453686749141
123,binance-futures/SOLUSDT - ftx/SOL/USD,-20,-0.010213269686716882
124,binance-futures/SOLUSDT - ftx/SOL/USD,-19,-0.0022589151313691324
125,binance-futures/SOLUSDT - ftx/SOL/USD,-18,-0.007788492931904662
126,binance-futures/SOLUSDT - ftx/SOL/USD,-17,-0.0019627633286242135
127,binance-futures/SOLUSDT - ftx/SOL/USD,-16,0.0007358440750330322
128,binance-futures/SOLUSDT - ftx/SOL/USD,-15,0.009046519803184676
129,binance-futures/SOLUSDT - ftx/SOL/USD,-14,0.013475325756984484
130,binance-futures/SOLUSDT - ftx/SOL/USD,-13,0.0010929154295798583
131,binance-futures/SOLUSDT - ftx/SOL/USD,-12,0.00880163441104203
132,binance-futures/SOLUSDT - ftx/SOL/USD,-11,-0.009282641370302071
133,binance-futures/SOLUSDT - ftx/SOL/USD,-10,-0.0035201744907643897
134,binance-futures/SOLUSDT - ftx/SOL/USD,-9,0.01029763850606702
135,binance-futures/SOLUSDT - ftx/SOL/USD,-8,-0.006620825398924595
136,binance-futures/SOLUSDT - ftx/SOL/USD,-7,-0.008887385716901636
137,binance-futures/SOLUSDT - ftx/SOL/USD,-6,-0.012428462030915412
138,binance-futures/SOLUSDT - ftx/SOL/USD,-5,-0.0038472167049237844
139,binance-futures/SOLUSDT - ftx/SOL/USD,-4,-0.005311532514303743
140,binance-futures/SOLUSDT - ftx/SOL/USD,-3,-0.005020413740892076
141,binance-futures/SOLUSDT - ftx/SOL/USD,-2,-0.004102290459279817
142,binance-futures/SOLUSDT - ftx/SOL/USD,-1,0.026626250305854422
143,binance-futures/SOLUSDT - ftx/SOL/USD,0,0.20115183453369942
144,binance-futures/SOLUSDT - ftx/SOL/USD,1,0.0743283827472155
145,binance-futures/SOLUSDT - ftx/SOL/USD,2,-0.012419511602245257
146,binance-futures/SOLUSDT - ftx/SOL/USD,3,-0.010124573693338645
147,binance-futures/SOLUSDT - ftx/SOL/USD,4,0.009424924285517375
148,binance-futures/SOLUSDT - ftx/SOL/USD,5,0.005195523740306827
149,binance-futures/SOLUSDT - ftx/SOL/USD,6,-0.009004853821064139
150,binance-futures/SOLUSDT - ftx/SOL/USD,7,-0.017223092676600854
151,binance-futures/SOLUSDT - ftx/SOL/USD,8,-0.017692369783830854
152,binance-futures/SOLUSDT - ftx/SOL/USD,9,0.0022496289771738206
153,binance-futures/SOLUSDT - ftx/SOL/USD,10,0.0032207613532988233
154,binance-futures/SOLUSDT - ftx/SOL/USD,11,-0.002562260924272609
155,binance-futures/SOLUSDT - ftx/SOL/USD,12,-0.0005054729412404677
156,binance-futures/SOLUSDT - ftx/SOL/USD,13,-0.00510351973454804
157,binance-futures/SOLUSDT - ftx/SOL/USD,14,-0.0028004637913296507
158,binance-futures/SOLUSDT - ftx/SOL/USD,15,0.013559344360568893
159,binance-futures/SOLUSDT - ftx/SOL/USD,16,-0.006065145118832749
160,binance-futures/SOLUSDT - ftx/SOL/USD,17,-0.00197391800768918
161,binance-futures/SOLUSDT - ftx/SOL/USD,18,-0.004113762640218251
162,binance-futures/SOLUSDT - ftx/SOL/USD,19,0.005576423429044263
163,binance-futures/SOLUSDT - ftx/SOL/USD,20,0.006879273683516153
164,binance-futures/SOLUSDT - gate-io/SOL_USDT,-20,0.015474329626460653
165,binance-futures/SOLUSDT - gate-io/SOL_USDT,-19,-0.01742812719629414
166,binance-futures/SOLUSDT - gate-io/SOL_USDT,-18,-0.009426425761174298
167,binance-futures/SOLUSDT - gate-io/SOL_USDT,-17,-0.002413964303640731
168,binance-futures/SOLUSDT - gate-io/SOL_USDT,-16,0.011184446132807184
169,binance-futures/SOLUSDT - gate-io/SOL_USDT,-15,0.03337786018561532
170,binance-futures/SOLUSDT - gate-io/SOL_USDT,-14,0.004970660952906891
171,binance-futures/SOLUSDT - gate-io/SOL_USDT,-13,-0.01061895305603759
172,binance-futures/SOLUSDT - gate-io/SOL_USDT,-12,-0.00045825804535111714
173,binance-futures/SOLUSDT - gate-io/SOL_USDT,-11,0.01900203729535415
174,binance-futures/SOLUSDT - gate-io/SOL_USDT,-10,0.0031728184282103465
175,binance-futures/SOLUSDT - gate-io/SOL_USDT,-9,-0.011997177708101069
176,binance-futures/SOLUSDT - gate-io/SOL_USDT,-8,-0.02252228695540335
177,binance-futures/SOLUSDT - gate-io/SOL_USDT,-7,-0.0217745671883939
178,binance-futures/SOLUSDT - gate-io/SOL_USDT,-6,-0.03733092595152524
179,binance-futures/SOLUSDT - gate-io/SOL_USDT,-5,-0.0030884908435960647
180,binance-futures/SOLUSDT - gate-io/SOL_USDT,-4,0.0034617216360597358
181,binance-futures/SOLUSDT - gate-io/SOL_USDT,-3,-0.012961182518463827
182,binance-futures/SOLUSDT - gate-io/SOL_USDT,-2,-0.03372611696087043
183,binance-futures/SOLUSDT - gate-io/SOL_USDT,-1,0.1588882770698222
184,binance-futures/SOLUSDT - gate-io/SOL_USDT,0,0.7304412588817705
185,binance-futures/SOLUSDT - gate-io/SOL_USDT,1,0.20661977993299996
186,binance-futures/SOLUSDT - gate-io/SOL_USDT,2,-0.0028333333351480356
187,binance-futures/SOLUSDT - gate-io/SOL_USDT,3,-0.0041029318098644236
188,binance-futures/SOLUSDT - gate-io/SOL_USDT,4,0.010526904930505539
189,binance-futures/SOLUSDT - gate-io/SOL_USDT,5,0.00922611919518922
190,binance-futures/SOLUSDT - gate-io/SOL_USDT,6,-0.008935615017257856
191,binance-futures/SOLUSDT - gate-io/SOL_USDT,7,-0.01977205225440099
192,binance-futures/SOLUSDT - gate-io/SOL_USDT,8,-0.03902574812039101
193,binance-futures/SOLUSDT - gate-io/SOL_USDT,9,-0.01620114987684798
194,binance-futures/SOLUSDT - gate-io/SOL_USDT,10,0.005137466846516935
195,binance-futures/SOLUSDT - gate-io/SOL_USDT,11,0.008255108770025608
196,binance-futures/SOLUSDT - gate-io/SOL_USDT,12,-0.0037917586658346657
197,binance-futures/SOLUSDT - gate-io/SOL_USDT,13,-0.012095468179840141
198,binance-futures/SOLUSDT - gate-io/SOL_USDT,14,0.014570890726922761
199,binance-futures/SOLUSDT - gate-io/SOL_USDT,15,0.0039028601350532296
200,binance-futures/SOLUSDT - gate-io/SOL_USDT,16,0.007802411838269399
201,binance-futures/SOLUSDT - gate-io/SOL_USDT,17,0.0037672870593268184
202,binance-futures/SOLUSDT - gate-io/SOL_USDT,18,-0.00253558251773026
203,binance-futures/SOLUSDT - gate-io/SOL_USDT,19,-0.010128843458700507
204,binance-futures/SOLUSDT - gate-io/SOL_USDT,20,-0.004023315287312328
205,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,-20,-0.001383310422466698
206,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,-19,-0.01043027032716078
207,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,-18,-0.011481192766318095
208,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,-17,0.013094998826165365
209,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,-16,0.013809442478302082
210,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,-15,0.023052306992922496
211,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,-14,0.022572576674585825
212,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,-13,-0.013604496923200038
213,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,-12,0.0025125133462569308
214,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,-11,0.0005139918044660552
215,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,-10,0.010355448621334406
216,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,-9,-0.0036446539549973306
217,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,-8,-0.04596924104952049
218,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,-7,-0.033360686640411315
219,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,-6,-0.033473931560806365
220,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,-5,0.016857253482706707
