,market_comparison,Shift,Correlation
94,binance-futures/BTCUSDT - ftx/BTC-PERP,-8,-0.031169857688260236
95,binance-futures/BTCUSDT - ftx/BTC-PERP,-7,0.013127474431064498
96,binance-futures/BTCUSDT - ftx/BTC-PERP,-6,-0.025275137147249944
97,binance-futures/BTCUSDT - ftx/BTC-PERP,-5,-0.014505767466849163
98,binance-futures/BTCUSDT - ftx/BTC-PERP,-4,-0.005790318070700475
99,binance-futures/BTCUSDT - ftx/BTC-PERP,-3,-0.02071295729970554
100,binance-futures/BTCUSDT - ftx/BTC-PERP,-2,-0.036200919017523536
101,binance-futures/BTCUSDT - ftx/BTC-PERP,-1,0.09298408099915494
102,binance-futures/BTCUSDT - ftx/BTC-PERP,0,0.7342990266511399
103,binance-futures/BTCUSDT - ftx/BTC-PERP,1,0.26026383761519484
104,binance-futures/BTCUSDT - ftx/BTC-PERP,2,0.002916178712892739
105,binance-futures/BTCUSDT - ftx/BTC-PERP,3,-0.018237285302218173
106,binance-futures/BTCUSDT - ftx/BTC-PERP,4,0.004514806274349035
107,binance-futures/BTCUSDT - ftx/BTC-PERP,5,-0.01569503471126382
108,binance-futures/BTCUSDT - ftx/BTC-PERP,6,-0.03973667053004001
109,binance-futures/BTCUSDT - ftx/BTC-PERP,7,0.023699664725031017
110,binance-futures/BTCUSDT - ftx/BTC-PERP,8,-0.014415526345461432
111,binance-futures/BTCUSDT - ftx/BTC-PERP,9,0.0024967063531394665
112,binance-futures/BTCUSDT - ftx/BTC-PERP,10,0.003987336772873328
113,binance-futures/BTCUSDT - ftx/BTC-PERP,11,0.013517392656717978
114,binance-futures/BTCUSDT - ftx/BTC-PERP,12,0.019139084892274505
115,binance-futures/BTCUSDT - ftx/BTC-PERP,13,-0.011716526223908645
116,binance-futures/BTCUSDT - ftx/BTC-PERP,14,-0.012943915953507605
117,binance-futures/BTCUSDT - ftx/BTC-PERP,15,0.005580875343382948
118,binance-futures/BTCUSDT - ftx/BTC-PERP,16,-0.0014577637980701258
119,binance-futures/BTCUSDT - ftx/BTC-PERP,17,0.0003037984812238651
120,binance-futures/BTCUSDT - ftx/BTC-PERP,18,-0.0062849649057028206
121,binance-futures/BTCUSDT - ftx/BTC-PERP,19,-0.004937049036962707
122,binance-futures/BTCUSDT - ftx/BTC-PERP,20,-0.010025592522002122
123,binance-futures/BTCUSDT - ftx/BTC/USD,-20,-0.0022907235267925472
124,binance-futures/BTCUSDT - ftx/BTC/USD,-19,-0.0060448405198585695
125,binance-futures/BTCUSDT - ftx/BTC/USD,-18,-0.0035511906126615535
126,binance-futures/BTCUSDT - ftx/BTC/USD,-17,-0.012518351014800552
127,binance-futures/BTCUSDT - ftx/BTC/USD,-16,-0.009966703881295298
128,binance-futures/BTCUSDT - ftx/BTC/USD,-15,0.009572520768199698
