,market_comparison,Shift,Correlation
101,binance-futures/FTTUSDT - ftx/FTT-PERP,-1,0.12812908310319518
102,binance-futures/FTTUSDT - ftx/FTT-PERP,0,0.5958213385561889
103,binance-futures/FTTUSDT - ftx/FTT-PERP,1,0.2208183452752272
104,binance-futures/FTTUSDT - ftx/FTT-PERP,2,0.030312674254690326
105,binance-futures/FTTUSDT - ftx/FTT-PERP,3,-0.0020128034612919335
106,binance-futures/FTTUSDT - ftx/FTT-PERP,4,0.016237577201299862
107,binance-futures/FTTUSDT - ftx/FTT-PERP,5,0.04073638728832005
108,binance-futures/FTTUSDT - ftx/FTT-PERP,6,0.04237039531957804
109,binance-futures/FTTUSDT - ftx/FTT-PERP,7,0.02273570535853455
110,binance-futures/FTTUSDT - ftx/FTT-PERP,8,-0.03538998593806112
111,binance-futures/FTTUSDT - ftx/FTT-PERP,9,-0.032704724565204735
112,binance-futures/FTTUSDT - ftx/FTT-PERP,10,0.022562044715427863
113,binance-futures/FTTUSDT - ftx/FTT-PERP,11,0.051159312899922336
114,binance-futures/FTTUSDT - ftx/FTT-PERP,12,0.03179321734335417
115,binance-futures/FTTUSDT - ftx/FTT-PERP,13,-0.009637306359689055
116,binance-futures/FTTUSDT - ftx/FTT-PERP,14,0.00233222091338727
117,binance-futures/FTTUSDT - ftx/FTT-PERP,15,0.004237103523955479
118,binance-futures/FTTUSDT - ftx/FTT-PERP,16,0.0380983325152091
119,binance-futures/FTTUSDT - ftx/FTT-PERP,17,0.04059617701784825
120,binance-futures/FTTUSDT - ftx/FTT-PERP,18,0.01780625317131695
121,binance-futures/FTTUSDT - ftx/FTT-PERP,19,-0.006730424080185934
122,binance-futures/FTTUSDT - ftx/FTT-PERP,20,-0.009202796895890925
123,binance-futures/FTTUSDT - ftx/FTT/USD,-20,0.009634355758714127
124,binance-futures/FTTUSDT - ftx/FTT/USD,-19,-0.016321237465664738
125,binance-futures/FTTUSDT - ftx/FTT/USD,-18,-0.011467648598080913
126,binance-futures/FTTUSDT - ftx/FTT/USD,-17,0.02832339220754501
127,binance-futures/FTTUSDT - ftx/FTT/USD,-16,0.01602758134878082
128,binance-futures/FTTUSDT - ftx/FTT/USD,-15,-0.007199692378055469
129,binance-futures/FTTUSDT - ftx/FTT/USD,-14,-0.009924534825434593
130,binance-futures/FTTUSDT - ftx/FTT/USD,-13,-0.011433634079075489
131,binance-futures/FTTUSDT - ftx/FTT/USD,-12,0.006382540773935497
132,binance-futures/FTTUSDT - ftx/FTT/USD,-11,0.031510782854345776
133,binance-futures/FTTUSDT - ftx/FTT/USD,-10,0.01480646585819402
134,binance-futures/FTTUSDT - ftx/FTT/USD,-9,-0.013833544626887611
135,binance-futures/FTTUSDT - ftx/FTT/USD,-8,-0.030094249560935774
136,binance-futures/FTTUSDT - ftx/FTT/USD,-7,0.0005008930047413193
137,binance-futures/FTTUSDT - ftx/FTT/USD,-6,0.014560671765694104
138,binance-futures/FTTUSDT - ftx/FTT/USD,-5,0.037329152498099545
139,binance-futures/FTTUSDT - ftx/FTT/USD,-4,0.014424103681372074
140,binance-futures/FTTUSDT - ftx/FTT/USD,-3,0.028063350670392038
141,binance-futures/FTTUSDT - ftx/FTT/USD,-2,-0.021101217291234365
142,binance-futures/FTTUSDT - ftx/FTT/USD,-1,0.12175547297319488
143,binance-futures/FTTUSDT - ftx/FTT/USD,0,0.522700291072184
